VolcanoPlot	Counts	Log2					
#Analysis Name	M-1002 Loma Linda analysis						
#Dataset Name	FCortex GCvsFLT SAL						
Statistical test summary							
Group by	Segment						
#Filtered Dataset	false						
Target tag	Target group membership/s	Target name	Log2	Pvalue	Adjusted pvalue	-log10 pvalue	-log10 adjusted pvalue
	"Probe_QC_5percfilter, All Targets"	Dtx3	-0.600256537	0.016905085	0	1.771982634	
	"Probe_QC_5percfilter, All Targets"	Kdm3b	0.19005301	0.234770041	0.19	0.629357324	0.721246399
	"Probe_QC_5percfilter, All Targets"	Tagap1	0.560969056	0.137403519	0.08	0.862002145	1.096910013
	"Probe_QC_5percfilter, All Targets"	Irf4	0.242903619	0.424946804	0.37	0.371665433	0.431798276
	"Probe_QC_5percfilter, All Targets"	Elp1	0.169790304	0.475693113	0.35	0.322673136	0.455931956
	"Probe_QC_5percfilter, All Targets"	Rad21	-0.215322667	0.462622107	0.29	0.334773618	0.537602002
	"Probe_QC_5percfilter, All Targets"	Add3	-0.23116852	0.42484573	0.25	0.371768743	0.602059991
	"Probe_QC_5percfilter, All Targets"	Commd10	0.433516397	0.116385404	0	0.934101481	
	"Probe_QC_5percfilter, All Targets"	Slc23a1	0.202958073	0.47313481	0.36	0.325015099	0.443697499
	"Probe_QC_5percfilter, All Targets"	Pdlim4	0.281461301	0.416105769	0.29	0.380796263	0.537602002
	"Probe_QC_5percfilter, All Targets"	Cfap206	0.006381033	0.986839673	0.86	0.005753399	0.065501549
	"Probe_QC_5percfilter, All Targets"	Tmed2	0.033045726	0.808844061	0.73	0.092135199	0.13667714
	"Probe_QC_5percfilter, All Targets"	Npm1	0.533718243	0.014817402	0	1.829227939	
	"Probe_QC_5percfilter, All Targets"	Mbnl2	0.070942768	0.253974896	0.19	0.595209208	0.721246399
	"Probe_QC_5percfilter, All Targets"	Ccr1	0.139394804	0.582407082	0.55	0.234773353	0.259637311
	"Probe_QC_5percfilter, All Targets"	Sgms2	0.114364334	0.392216066	0.32	0.406474621	0.494850022
	"Probe_QC_5percfilter, All Targets"	Lat2	0.307050965	0.405258928	0.47	0.392267409	0.327902142
	"Probe_QC_5percfilter, All Targets"	Gm32204	-0.093954523	0.699092506	0.82	0.155465353	0.086186148
	"Probe_QC_5percfilter, All Targets"	Poc1b	0.080002553	0.856350752	0.87	0.067348316	0.060480747
	"Probe_QC_5percfilter, All Targets"	Sf3a1	0.154971216	0.083181506	0	1.079973219	
	"Probe_QC_5percfilter, All Targets"	Pag1	0.24669664	0.452794223	0.33	0.344099123	0.48148606
	"Probe_QC_5percfilter, All Targets"	Tank	-0.310208162	0.058960538	0	1.229438561	
	"Probe_QC_5percfilter, All Targets"	1810037I17Rik	-0.077540452	0.607056361	0.49	0.216770986	0.30980392
	"Probe_QC_5percfilter, All Targets"	Dlgap1	0.180133394	0.421814504	0.23	0.374878492	0.638272164
	"Probe_QC_5percfilter, All Targets"	Olfr860	0.441767678	0.258933465	0.21	0.586811817	0.677780705
	"Probe_QC_5percfilter, All Targets"	Apol10a	-0.113879738	0.611642348	0.82	0.213502453	0.086186148
	"Probe_QC_5percfilter, All Targets"	Col6a4	-0.126860365	0.412252219	0.3	0.384836998	0.522878745
	"Probe_QC_5percfilter, All Targets"	Tmprss9	0.123022797	0.594440103	0.9	0.225891899	0.045757491
	"Probe_QC_5percfilter, All Targets"	Ffar3	0.070509038	0.77746461	0.67	0.109319371	0.173925197
	"Probe_QC_5percfilter, All Targets"	Kcnb1	-0.075401502	0.272446904	0.19	0.564718124	0.721246399
	"Probe_QC_5percfilter, All Targets"	Rpl7a	0.024105804	0.85741819	0.82	0.066807307	0.086186148
	"Probe_QC_5percfilter, All Targets"	Smpd2	0.034345512	0.822675272	0.75	0.084771556	0.124938737
	"Probe_QC_5percfilter, All Targets"	Scn1b	0.243409668	0.43294601	0.28	0.363566259	0.552841969
	"Probe_QC_5percfilter, All Targets"	Scap	-0.021250091	0.853315748	0.76	0.068890239	0.119186408
	"Probe_QC_5percfilter, All Targets"	Pear1	0.128707852	0.643644784	0.91	0.191353746	0.040958608
	"Probe_QC_5percfilter, All Targets"	Pga5	0.158480098	0.42545747	0.29	0.371143846	0.537602002
	"Probe_QC_5percfilter, All Targets"	Pcdha2	-0.011055146	0.921715122	0.91	0.035403287	0.040958608
	"Probe_QC_5percfilter, All Targets"	Cd37	0.086136446	0.717341962	0.64	0.144273764	0.193820026
	"Probe_QC_5percfilter, All Targets"	Setd4	-0.123141011	0.398892741	0.41	0.399143867	0.387216143
	"Probe_QC_5percfilter, All Targets"	Stag1	-0.024308345	0.841596272	0.66	0.074896197	0.180456064
	"Probe_QC_5percfilter, All Targets"	Ankk1	0.082439328	0.601499529	0.43	0.220764708	0.366531544
	"Probe_QC_5percfilter, All Targets"	Qrich1	-0.102210387	0.566427414	0.6	0.246855735	0.22184875
	"Probe_QC_5percfilter, All Targets"	Trmo	0.2004069	0.443969491	0.41	0.352646873	0.387216143
	"Probe_QC_5percfilter, All Targets"	Spata6l	0.379043303	0.195060764	0.06	0.709830078	1.22184875
	"Probe_QC_5percfilter, All Targets"	Acad12	-0.395687833	0.074703325	0	1.12666007	
	"Probe_QC_5percfilter, All Targets"	Klf4	-0.031726748	0.863965292	0.74	0.063503704	0.13076828
	"Probe_QC_5percfilter, All Targets"	Gtsf1l	-0.040367242	0.814126822	0.89	0.089307937	0.050609993
	"Probe_QC_5percfilter, All Targets"	Dnah12	-0.224793308	0.285512178	0.22	0.544375363	0.657577319
	"Probe_QC_5percfilter, All Targets"	Rrp7a	0.126443656	0.42203743	0.39	0.37464903	0.408935393
	"Probe_QC_5percfilter, All Targets"	Peli2	0.364278536	0.332010234	0.33	0.47884853	0.48148606
	"Probe_QC_5percfilter, All Targets"	Naa11	0.189066336	0.311640234	0.36	0.506346478	0.443697499
	"Probe_QC_5percfilter, All Targets"	Rasd2	-0.010446117	0.966800492	0.82	0.014663137	0.086186148
	"Probe_QC_5percfilter, All Targets"	Iqsec3	0.211060801	0.227311907	0.18	0.643377815	0.744727495
	"Probe_QC_5percfilter, All Targets"	B4galnt1	-0.338274421	0.078981699	0	1.10247353	
	"Probe_QC_5percfilter, All Targets"	Hapln1	0.159129522	0.331563791	0.51	0.479432903	0.292429824
	"Probe_QC_5percfilter, All Targets"	Slc35d2	-0.019127266	0.944667631	0.89	0.024720966	0.050609993
	"Probe_QC_5percfilter, All Targets"	Gm10354	-0.012973756	0.870744298	0.92	0.060109361	0.036212173
	"Probe_QC_5percfilter, All Targets"	Rasgef1a	-0.318208251	0.322359083	0.27	0.491660088	0.568636236
	"Probe_QC_5percfilter, All Targets"	C2cd4c	-0.350154201	0.058605645	0	1.232060547	
	"Probe_QC_5percfilter, All Targets"	Pla2g4a	-0.19467066	0.56609044	0.62	0.247114179	0.207608311
	"Probe_QC_5percfilter, All Targets"	Spata24	0.214858267	0.351233617	0.29	0.454403923	0.537602002
	"Probe_QC_5percfilter, All Targets"	Sertad1	-0.347096672	0.249385132	0.21	0.603129442	0.677780705
	"Probe_QC_5percfilter, All Targets"	Wdr11	-0.055985278	0.871391048	0.77	0.059786906	0.113509275
	"Probe_QC_5percfilter, All Targets"	Adgrf4	0.199887523	0.746895788	0.59	0.12673999	0.229147988
	"Probe_QC_5percfilter, All Targets"	Slc9a2	0.190680762	0.687282263	0.61	0.162864864	0.214670165
	"Probe_QC_5percfilter, All Targets"	Pdlim1	-0.417232123	0.058588584	0	1.232186995	
	"Probe_QC_5percfilter, All Targets"	Prl2c3	-0.155481043	0.402159946	0.23	0.395601186	0.638272164
	"Probe_QC_5percfilter, All Targets"	Btbd10	0.067121694	0.48082411	0.28	0.318013763	0.552841969
	"Probe_QC_5percfilter, All Targets"	Sppl3	0.007943266	0.970268086	0.87	0.013108253	0.060480747
	"Probe_QC_5percfilter, All Targets"	H1f4	-0.071382468	0.715382112	0.71	0.145461923	0.148741651
	"Probe_QC_5percfilter, All Targets"	Nbn	0.105785192	0.658161384	0.74	0.181667602	0.13076828
	"Probe_QC_5percfilter, All Targets"	Vmn1r176	0.111567059	0.874862889	0.75	0.058060006	0.124938737
	"Probe_QC_5percfilter, All Targets"	Hif1an	-0.304793295	0.335344489	0.38	0.474508827	0.420216403
	"Probe_QC_5percfilter, All Targets"	Ddx39a	-0.084719258	0.693783853	0.46	0.158775812	0.337242168
	"Probe_QC_5percfilter, All Targets"	Pcdhb13	0.610117066	0.067844235	0	1.168487047	
	"Probe_QC_5percfilter, All Targets"	Usp19	-0.110377075	0.334026341	0.23	0.476219284	0.638272164
	"Probe_QC_5percfilter, All Targets"	Mpc1	0.20447614	0.264806199	0.22	0.577071852	0.657577319
	"Probe_QC_5percfilter, All Targets"	Bola3	0.044592849	0.873371818	0.56	0.058800826	0.251811973
	"Probe_QC_5percfilter, All Targets"	Tfg	0.234472279	0.156929921	0	0.804294243	
	"Probe_QC_5percfilter, All Targets"	Igdcc4	0.35447344	0.235826793	0.17	0.627406855	0.769551079
	"Probe_QC_5percfilter, All Targets"	Reps1	0.170399994	0.381668121	0.48	0.418314113	0.318758763
	"Probe_QC_5percfilter, All Targets"	Rab2a	-0.061927547	0.519856354	0.37	0.284116644	0.431798276
	"Probe_QC_5percfilter, All Targets"	Scube2	0.341338327	0.124782578	0	0.903846045	
	"Probe_QC_5percfilter, All Targets"	Gm46013	0.076706408	0.434507879	0.38	0.362002344	0.420216403
	"Probe_QC_5percfilter, All Targets"	Lingo3	-0.105499832	0.421794537	0.38	0.374899049	0.420216403
	"Probe_QC_5percfilter, All Targets"	Klhl12	-0.290527863	0.232259495	0.24	0.634026523	0.619788758
	"Probe_QC_5percfilter, All Targets"	Ascc3	0.060549001	0.741407715	0.65	0.129942899	0.187086643
	"Probe_QC_5percfilter, All Targets"	D830030K20Rik	-0.105277808	0.527158921	0.57	0.27805844	0.244125144
	"Probe_QC_5percfilter, All Targets"	Ankmy1	-0.227202962	0.448418153	0.56	0.348316815	0.251811973
	"Probe_QC_5percfilter, All Targets"	Mrps31	0.242824684	0.566007868	0.73	0.247177532	0.13667714
	"Probe_QC_5percfilter, All Targets"	Erdr1	-0.484557735	0.229260833	0.24	0.639670135	0.619788758
	"Probe_QC_5percfilter, All Targets"	Icmt	0.432548168	0.091155887	0	1.040215278	
	"Probe_QC_5percfilter, All Targets"	Slc25a43	-0.173969176	0.064550443	0	1.190100775	
	"Probe_QC_5percfilter, All Targets"	Ccdc15	-0.18120657	0.642674376	0.51	0.192009016	0.292429824
	"Probe_QC_5percfilter, All Targets"	Mrps18c	0.143332694	0.398375941	0.33	0.399706898	0.48148606
	"Probe_QC_5percfilter, All Targets"	Vars	0.372716707	0.138421355	0.08	0.858796904	1.096910013
	"Probe_QC_5percfilter, All Targets"	Haus1	-0.602407083	0.13319456	0.14	0.875513513	0.853871964
	"Probe_QC_5percfilter, All Targets"	Cryba2	0.223965462	0.356245611	0.26	0.448250478	0.585026652
	"Probe_QC_5percfilter, All Targets"	Srsf2	0.136431958	0.402041936	0.28	0.395728644	0.552841969
	"Probe_QC_5percfilter, All Targets"	Psg17	0.011187805	0.91572454	0.83	0.038235147	0.080921908
	"Probe_QC_5percfilter, All Targets"	Rgn	-0.014630165	0.967449448	0.89	0.014371719	0.050609993
	"Probe_QC_5percfilter, All Targets"	Sult1a1	0.472904716	0.207851374	0.07	0.6822471	1.15490196
	"Probe_QC_5percfilter, All Targets"	Spink8	0.28123846	0.234134301	0.14	0.630534956	0.853871964
	"Probe_QC_5percfilter, All Targets"	P4hb	-0.031465281	0.952204475	0.83	0.021269782	0.080921908
	"Probe_QC_5percfilter, All Targets"	Tada1	-0.186215243	0.312803352	0.15	0.504728601	0.823908741
	"Probe_QC_5percfilter, All Targets"	St8sia4	0.209288601	0.351682438	0.38	0.453849319	0.420216403
	"Probe_QC_5percfilter, All Targets"	Afmid	0.277494508	0.417424182	0.28	0.379422395	0.552841969
	"Probe_QC_5percfilter, All Targets"	Gramd1b	-0.299022041	0.08081725	0	1.092495931	
	"Probe_QC_5percfilter, All Targets"	Gpr52	0.090133866	0.783322511	0.76	0.106059392	0.119186408
	"Probe_QC_5percfilter, All Targets"	Klhl23	0.008314145	0.968539476	0.89	0.013882673	0.050609993
	"Probe_QC_5percfilter, All Targets"	Ocstamp	-0.005738674	0.969886551	0.94	0.013279063	0.026872146
	"Probe_QC_5percfilter, All Targets"	Nras	0.338382546	0.017915175	0	1.746778953	
	"Probe_QC_5percfilter, All Targets"	Gm6570	0.34580917	0.305581073	0.25	0.514873548	0.602059991
	"Probe_QC_5percfilter, All Targets"	Col10a1	-0.003023657	0.992828768	0.91	0.003125647	0.040958608
	"Probe_QC_5percfilter, All Targets"	Clps	-0.009156188	0.939541375	0.79	0.02708409	0.102372909
	"Probe_QC_5percfilter, All Targets"	Slc25a24	-0.044025153	0.919882117	0.83	0.036267824	0.080921908
	"Probe_QC_5percfilter, All Targets"	Sgcz	-0.182981861	0.279368222	0.13	0.553822996	0.886056648
	"Probe_QC_5percfilter, All Targets"	Olfr1450	0.027526446	0.842294432	0.83	0.07453607	0.080921908
	"Probe_QC_5percfilter, All Targets"	Ttll1	-0.241324183	0.499361134	0.43	0.301585263	0.366531544
	"Probe_QC_5percfilter, All Targets"	Vmn1r125	-0.086280651	0.674768507	0.49	0.170845195	0.30980392
	"Probe_QC_5percfilter, All Targets"	Mrgprg	0.188403188	0.349281465	0.36	0.45682446	0.443697499
	"Probe_QC_5percfilter, All Targets"	Ptchd1	0.262776826	0.409034615	0.46	0.388239937	0.337242168
	"Probe_QC_5percfilter, All Targets"	Ssh1	-0.156682046	0.577405779	0.49	0.238518874	0.30980392
	"Probe_QC_5percfilter, All Targets"	Zdhhc19	0.387831148	0.335830228	0.41	0.473880215	0.387216143
	"Probe_QC_5percfilter, All Targets"	Ccnyl1	-0.020604966	0.870939879	0.66	0.060011823	0.180456064
	"Probe_QC_5percfilter, All Targets"	Pik3ap1	0.260629355	0.181499442	0.09	0.741124706	1.045757491
	"Probe_QC_5percfilter, All Targets"	Cercam	-0.12328872	0.563526271	0.45	0.249085833	0.346787486
	"Probe_QC_5percfilter, All Targets"	Ndufs5	0.111831789	0.463823765	0.2	0.333647003	0.698970004
	"Probe_QC_5percfilter, All Targets"	Aknad1	0.078029141	0.652007657	0.52	0.185747304	0.283996656
	"Probe_QC_5percfilter, All Targets"	Pknox2	0.26508015	0.091134478	0.1	1.04031729	1
	"Probe_QC_5percfilter, All Targets"	Lair1	-0.073377034	0.575076003	0.49	0.240274754	0.30980392
	"Probe_QC_5percfilter, All Targets"	Fam114a1	0.082725152	0.686827017	0.83	0.16315263	0.080921908
	"Probe_QC_5percfilter, All Targets"	Maff	-0.10923067	0.998722191	0.98	0.0005553	0.008773924
	"Probe_QC_5percfilter, All Targets"	Fkbp14	0.152791593	0.640812779	0.56	0.193268836	0.251811973
	"Probe_QC_5percfilter, All Targets"	Rnf214	-0.216277307	0.07415963	0	1.129832445	
	"Probe_QC_5percfilter, All Targets"	Fto	-0.068512587	0.675430056	0.56	0.170419617	0.251811973
	"Probe_QC_5percfilter, All Targets"	Serpinb6d	-0.193739588	0.366808349	0.38	0.435560788	0.420216403
	"Probe_QC_5percfilter, All Targets"	Syn1	0.151267085	0.329876816	0.06	0.481648206	1.22184875
	"Probe_QC_5percfilter, All Targets"	Dbnl	-0.029328682	0.876779994	0.87	0.057109368	0.060480747
	"Probe_QC_5percfilter, All Targets"	Lcn3	0.149017496	0.296066417	0.08	0.528610853	1.096910013
	"Probe_QC_5percfilter, All Targets"	Slc16a1	-0.191127796	0.143066334	0.09	0.844462551	1.045757491
	"Probe_QC_5percfilter, All Targets"	Atp13a2	0.254287491	0.140954378	0.11	0.85092143	0.958607315
	"Probe_QC_5percfilter, All Targets"	Tbc1d15	0.118498592	0.171828345	0.21	0.764905192	0.677780705
	"Probe_QC_5percfilter, All Targets"	Batf3	0.034194845	0.938447902	0.93	0.027589832	0.031517051
	"Probe_QC_5percfilter, All Targets"	Tmem213	-0.287146973	0.182959952	0.11	0.737643962	0.958607315
	"Probe_QC_5percfilter, All Targets"	Kctd11	-0.385230347	0.312640439	0.3	0.504954849	0.522878745
	"Probe_QC_5percfilter, All Targets"	Prr30	0.293739219	0.033225984	0	1.478522148	
	"Probe_QC_5percfilter, All Targets"	Mcpt8	-0.029536579	0.834590018	0.77	0.078526814	0.113509275
	"Probe_QC_5percfilter, All Targets"	Fndc10	0.17723736	0.378929986	0.25	0.421441027	0.602059991
	"Probe_QC_5percfilter, All Targets"	Prpsap2	-0.215926199	0.105943166	0	0.974927053	
	"Probe_QC_5percfilter, All Targets"	Crb2	-0.00052	0.97458718	0.77	0.011179306	0.113509275
	"Probe_QC_5percfilter, All Targets"	Neo1	-0.09377737	0.369329773	0.25	0.432585681	0.602059991
	"Probe_QC_5percfilter, All Targets"	Olfr772	0.013166132	0.905094776	0.81	0.043305942	0.091514981
	"Probe_QC_5percfilter, All Targets"	Olfr2	0.634136718	0.013212847	0	1.879003591	
	"Probe_QC_5percfilter, All Targets"	Spire1	-0.031603614	0.806528974	0.68	0.093380026	0.167491087
	"Probe_QC_5percfilter, All Targets"	Sgpl1	0.155091192	0.381374749	0.2	0.418648065	0.698970004
	"Probe_QC_5percfilter, All Targets"	Adra1a	-0.129915327	0.456511411	0.26	0.340548363	0.585026652
	"Probe_QC_5percfilter, All Targets"	Nanp	0.154518006	0.405436612	0.29	0.392077036	0.537602002
	"Probe_QC_5percfilter, All Targets"	Cdk14	0.046862503	0.870877865	0.88	0.060042748	0.055517328
	"Probe_QC_5percfilter, All Targets"	Etnppl	0.646054741	0.053776334	0.01	1.269408808	2
	"Probe_QC_5percfilter, All Targets"	Gmpr	0.190956291	0.088877816	0	1.051206624	
	"Probe_QC_5percfilter, All Targets"	Kng1	-0.189746307	0.56677574	0.53	0.246588747	0.27572413
	"Probe_QC_5percfilter, All Targets"	Fam228b	0.188408479	0.359569537	0.25	0.444217109	0.602059991
	"Probe_QC_5percfilter, All Targets"	Cnbp	0.104594986	0.512115361	0.62	0.290632198	0.207608311
	"Probe_QC_5percfilter, All Targets"	Bicd2	-0.166249042	0.420326177	0.44	0.376413563	0.356547324
	"Probe_QC_5percfilter, All Targets"	Crxos	0.127583897	0.265442155	0.13	0.576030106	0.886056648
	"Probe_QC_5percfilter, All Targets"	Tbata	-0.208578072	0.312848842	0.26	0.504665449	0.585026652
	"Probe_QC_5percfilter, All Targets"	Ccnb3	0.22109038	0.35659167	0.24	0.447828807	0.619788758
	"Probe_QC_5percfilter, All Targets"	Hexim2	0.057840147	0.457181737	0.5	0.339911127	0.301029996
	"Probe_QC_5percfilter, All Targets"	Slc39a14	0.042676708	0.993989552	0.87	0.00261818	0.060480747
	"Probe_QC_5percfilter, All Targets"	Ch25h	0.314941878	0.540731286	0.66	0.267018502	0.180456064
	"Probe_QC_5percfilter, All Targets"	Zfp651	-0.198434156	0.274145942	0.18	0.562018179	0.744727495
	"Probe_QC_5percfilter, All Targets"	Klra12	0.144860124	0.491344709	0.55	0.308613716	0.259637311
	"Probe_QC_5percfilter, All Targets"	Mlycd	0.119113986	0.527979539	0.53	0.277382907	0.27572413
	"Probe_QC_5percfilter, All Targets"	Cabp1	-0.115160809	0.565473431	0.59	0.247587796	0.229147988
	"Probe_QC_5percfilter, All Targets"	Slc36a1	-0.207972862	0.227522417	0.17	0.642975808	0.769551079
	"Probe_QC_5percfilter, All Targets"	Acnat2	0.347752287	0.313643315	0.2	0.503563965	0.698970004
	"Probe_QC_5percfilter, All Targets"	Nr1d1	0.314184079	0.125497885	0.08	0.901363595	1.096910013
	"Probe_QC_5percfilter, All Targets"	Tas2r126	-0.249873986	0.433334005	0.51	0.36317723	0.292429824
	"Probe_QC_5percfilter, All Targets"	Bst1	-0.256699394	0.222769054	0.02	0.652145139	1.698970004
	"Probe_QC_5percfilter, All Targets"	Tmx1	0.04527055	0.752810721	0.78	0.123314205	0.107905397
	"Probe_QC_5percfilter, All Targets"	Ralyl	-0.081445497	0.730024245	0.82	0.136662716	0.086186148
	"Probe_QC_5percfilter, All Targets"	Eif2s1	-0.038017528	0.908035015	0.91	0.041897404	0.040958608
	"Probe_QC_5percfilter, All Targets"	Psg27	0.104285708	0.631258	0.69	0.199793105	0.161150909
	"Probe_QC_5percfilter, All Targets"	Cenpe	0.09702962	0.641224815	0.74	0.192989679	0.13076828
	"Probe_QC_5percfilter, All Targets"	Olfr1458	-0.069199959	0.693306633	0.56	0.159074645	0.251811973
	"Probe_QC_5percfilter, All Targets"	Gpr84	-0.018536676	0.903660871	0.87	0.043994522	0.060480747
	"Probe_QC_5percfilter, All Targets"	Rnf186	-0.072693454	0.621250565	0.54	0.206733203	0.26760624
	"Probe_QC_5percfilter, All Targets"	Olfr678	-0.053983344	0.651501866	0.51	0.186084336	0.292429824
	"Probe_QC_5percfilter, All Targets"	Picalm	-0.037472699	0.803276262	0.85	0.095135067	0.070581074
	"Probe_QC_5percfilter, All Targets"	Krtap10-10	0.294596756	0.565512186	0.51	0.247558032	0.292429824
	"Probe_QC_5percfilter, All Targets"	Nqo1	0.167052244	0.509084598	0.55	0.293210042	0.259637311
	"Probe_QC_5percfilter, All Targets"	Rem2	-0.267460873	0.365680112	0.24	0.436898659	0.619788758
	"Probe_QC_5percfilter, All Targets"	2700062C07Rik	-0.013703554	0.999198994	0.88	0.000348012	0.055517328
	"Probe_QC_5percfilter, All Targets"	Eid2b	0.224296819	0.624480782	0.6	0.204480922	0.22184875
	"Probe_QC_5percfilter, All Targets"	Xpo1	-0.098165077	0.532871299	0.42	0.273377671	0.37675071
	"Probe_QC_5percfilter, All Targets"	Drg2	0.109755949	0.687585412	0.53	0.162673346	0.27572413
	"Probe_QC_5percfilter, All Targets"	Lad1	0.140578328	0.702861856	0.63	0.153130025	0.200659451
	"Probe_QC_5percfilter, All Targets"	Olfr157	0.103241413	0.704351032	0.84	0.152210845	0.075720714
	"Probe_QC_5percfilter, All Targets"	Crcp	-0.056561438	0.701602905	0.58	0.153908621	0.236572006
	"Probe_QC_5percfilter, All Targets"	AI182371	-0.070323882	0.788669384	0.77	0.103105018	0.113509275
	"Probe_QC_5percfilter, All Targets"	Pbdc1	-0.274346919	0.305959572	0.34	0.514335956	0.468521083
	"Probe_QC_5percfilter, All Targets"	Cadps2	0.183213546	0.040035329	0	1.397556603	
	"Probe_QC_5percfilter, All Targets"	Olfr919	0.800933083	0.354506069	0.26	0.450376326	0.585026652
	"Probe_QC_5percfilter, All Targets"	Ranbp10	0.191811804	0.363996881	0.27	0.438902338	0.568636236
	"Probe_QC_5percfilter, All Targets"	Oprm1	-0.111646599	0.252591125	0.26	0.597581914	0.585026652
	"Probe_QC_5percfilter, All Targets"	1700019D03Rik	0.007820998	0.948332466	0.88	0.023039381	0.055517328
	"Probe_QC_5percfilter, All Targets"	Arid3c	0.366654612	0.299265933	0.32	0.523942718	0.494850022
	"Probe_QC_5percfilter, All Targets"	Nod2	-0.252335	0.291210279	0.22	0.5357933	0.657577319
	"Probe_QC_5percfilter, All Targets"	Ggact	0.170340217	0.309557845	0.3	0.509258186	0.522878745
	"Probe_QC_5percfilter, All Targets"	Olfr390	-0.349904319	0.462732352	0.55	0.334670135	0.259637311
	"Probe_QC_5percfilter, All Targets"	Zmat4	0.325074565	0.224244664	0.11	0.649277881	0.958607315
	"Probe_QC_5percfilter, All Targets"	Trim12a	-0.145674575	0.727240055	0.71	0.138322209	0.148741651
	"Probe_QC_5percfilter, All Targets"	Parp9	-0.33975808	0.155193427	0.22	0.809126677	0.657577319
	"Probe_QC_5percfilter, All Targets"	Chsy3	0.086945699	0.949922294	0.89	0.02231192	0.050609993
	"Probe_QC_5percfilter, All Targets"	Btf3l4	0.523565594	0.100740827	0	0.996794487	
	"Probe_QC_5percfilter, All Targets"	Rnf150	-0.18682144	0.506143742	0.61	0.295726129	0.214670165
	"Probe_QC_5percfilter, All Targets"	Olfr26	0.100474076	0.721433444	0.73	0.141803728	0.13667714
	"Probe_QC_5percfilter, All Targets"	Cadm1	0.108394731	0.64257695	0.65	0.192074857	0.187086643
	"Probe_QC_5percfilter, All Targets"	Fam102b	0.091460992	0.592560942	0.57	0.227266978	0.244125144
	"Probe_QC_5percfilter, All Targets"	Utp11	-0.059387907	0.69267505	0.51	0.159470455	0.292429824
	"Probe_QC_5percfilter, All Targets"	Hnrnph3	0.172700746	0.131797579	0.08	0.880092567	1.096910013
	"Probe_QC_5percfilter, All Targets"	Sim2	-0.257375478	0.54179965	0.63	0.26616128	0.200659451
	"Probe_QC_5percfilter, All Targets"	Ppp1r7	0.376407762	0.010026423	0	1.998853956	
	"Probe_QC_5percfilter, All Targets"	Actl11	0.160161626	0.50879246	0.47	0.293459333	0.327902142
	"Probe_QC_5percfilter, All Targets"	Erp44	0.075266565	0.628166177	0.54	0.201925451	0.26760624
	"Probe_QC_5percfilter, All Targets"	Hp1bp3	0.104646586	0.55985654	0.55	0.251923244	0.259637311
	"Probe_QC_5percfilter, All Targets"	Rubcnl	0.016964144	0.967442928	0.91	0.014374646	0.040958608
	"Probe_QC_5percfilter, All Targets"	Grm1	-0.118730884	0.265156618	0.23	0.576497529	0.638272164
	"Probe_QC_5percfilter, All Targets"	1110059G10Rik	0.538300686	0.1509491	0	0.821169471	
	"Probe_QC_5percfilter, All Targets"	Zfp746	-0.165888359	0.657472446	0.68	0.182122443	0.167491087
	"Probe_QC_5percfilter, All Targets"	Prcp	-0.07749593	0.784560993	0.64	0.105373288	0.193820026
	"Probe_QC_5percfilter, All Targets"	Tgif2	-0.478992384	0.191647703	0.16	0.717496382	0.795880017
	"Probe_QC_5percfilter, All Targets"	Pklr	-0.242414321	0.129090773	0.03	0.8891048	1.522878745
	"Probe_QC_5percfilter, All Targets"	Igbp1	-0.170794851	0.17567642	0.21	0.755286527	0.677780705
	"Probe_QC_5percfilter, All Targets"	Scand1	0.144654589	0.549187354	0.5	0.260279472	0.301029996
	"Probe_QC_5percfilter, All Targets"	Zfp473	-0.162853622	0.370331314	0.2	0.431409563	0.698970004
	"Probe_QC_5percfilter, All Targets"	Pramel6	0.100571041	0.179765345	0.15	0.745294028	0.823908741
	"Probe_QC_5percfilter, All Targets"	Gm3414	-0.106322373	0.718987146	0.7	0.143278874	0.15490196
	"Probe_QC_5percfilter, All Targets"	Sp4	-0.118524623	0.148651236	0.1	0.827831475	1
	"Probe_QC_5percfilter, All Targets"	1700019N19Rik	0.21894829	0.567044551	0.64	0.246382818	0.193820026
	"Probe_QC_5percfilter, All Targets"	Dlx6	0.274581251	0.227546121	0.04	0.642930564	1.397940009
	"Probe_QC_5percfilter, All Targets"	Sumo3	0.169326951	0.363164206	0.39	0.439896963	0.408935393
	"Probe_QC_5percfilter, All Targets"	Mep1a	0.177082538	0.631101295	0.7	0.199900929	0.15490196
	"Probe_QC_5percfilter, All Targets"	Grpel2	-0.042733475	0.827482439	0.68	0.082241214	0.167491087
	"Probe_QC_5percfilter, All Targets"	Sowahb	0.553572888	0.021523737	0	1.667082316	
	"Probe_QC_5percfilter, All Targets"	Aptx	0.216968058	0.321700002	0.21	0.492548936	0.677780705
	"Probe_QC_5percfilter, All Targets"	Clcn3	0.171060768	0.248124497	0.21	0.605330356	0.677780705
	"Probe_QC_5percfilter, All Targets"	Olfr1451	0.45123028	0.098981199	0	1.004447289	
	"Probe_QC_5percfilter, All Targets"	Olfr46	0.159865333	0.437693345	0.34	0.358830057	0.468521083
	"Probe_QC_5percfilter, All Targets"	Tagln3	0.038044536	0.811707617	0.63	0.090600379	0.200659451
	"Probe_QC_5percfilter, All Targets"	Panx1	0.083196798	0.892001411	0.88	0.049634459	0.055517328
	"Probe_QC_5percfilter, All Targets"	Prg4	0.417163308	0.199957549	0.19	0.699062195	0.721246399
