VolcanoPlot	Counts	Log2					
#Analysis Name	M-1002 Loma Linda analysis						
#Dataset Name	FCortex GCvsFLT SAL						
Statistical test summary							
Group by	Segment						
#Filtered Dataset	false						
Target tag	Target group membership/s	Target name	Log2	Pvalue	Adjusted pvalue	-log10 pvalue	-log10 adjusted pvalue
	"Probe_QC_5percfilter, All Targets"	Prl	-0.112558377	0.616983361	0.5	0.209726548	0.301029996
	"Probe_QC_5percfilter, All Targets"	Scarf2	-0.232129114	0.345642365	0.33	0.461373032	0.48148606
	"Probe_QC_5percfilter, All Targets"	Tmem179	0.218851325	0.325875384	0.42	0.486948444	0.37675071
	"Probe_QC_5percfilter, All Targets"	Gpx2	0.51462493	0.170553652	0.05	0.768138977	1.301029996
	"Probe_QC_5percfilter, All Targets"	Ankrd27	0.003552804	0.995035979	0.94	0.002161216	0.026872146
	"Probe_QC_5percfilter, All Targets"	Parp3	0.001456681	0.999424136	0.92	0.000250167	0.036212173
	"Probe_QC_5percfilter, All Targets"	Eva1c	0.115262015	0.551185534	0.57	0.258702189	0.244125144
	"Probe_QC_5percfilter, All Targets"	Traf3ip1	0.134825637	0.682121895	0.57	0.16613801	0.244125144
	"Probe_QC_5percfilter, All Targets"	Zfp3	0.106675399	0.595037155	0.53	0.225455916	0.27572413
	"Probe_QC_5percfilter, All Targets"	Cbfb	-0.082417736	0.535246139	0.61	0.271446457	0.214670165
	"Probe_QC_5percfilter, All Targets"	Med27	0.092207381	0.559806414	0.58	0.25196213	0.236572006
	"Probe_QC_5percfilter, All Targets"	Snrnp35	0.266924888	0.531112068	0.57	0.27481383	0.244125144
	"Probe_QC_5percfilter, All Targets"	Serpina3c	0.290920512	0.488070429	0.46	0.311517505	0.337242168
	"Probe_QC_5percfilter, All Targets"	Gjb3	-0.07242118	0.718338583	0.71	0.143670806	0.148741651
	"Probe_QC_5percfilter, All Targets"	Creg2	0.209008276	0.418398282	0.28	0.378410107	0.552841969
	"Probe_QC_5percfilter, All Targets"	Stat1	-0.065131836	0.906434904	0.83	0.042663379	0.080921908
	"Probe_QC_5percfilter, All Targets"	Olfr356	0.653757743	0.037030823	0	1.431436637	
	"Probe_QC_5percfilter, All Targets"	Jarid2	-0.06550884	0.705919048	0.61	0.151245099	0.214670165
	"Probe_QC_5percfilter, All Targets"	Clmp	-0.118891248	0.67102074	0.51	0.173264056	0.292429824
	"Probe_QC_5percfilter, All Targets"	Pttg1ip2	-0.063412184	0.816832632	0.82	0.087866921	0.086186148
	"Probe_QC_5percfilter, All Targets"	Ccdc122	-0.017904962	0.911028221	0.93	0.04046817	0.031517051
	"Probe_QC_5percfilter, All Targets"	Doxl1	0.123249761	0.846200901	0.83	0.072526517	0.080921908
	"Probe_QC_5percfilter, All Targets"	Uhmk1	-0.201309514	0.376980866	0.26	0.423680693	0.585026652
	"Probe_QC_5percfilter, All Targets"	Prrt3	-0.144651802	0.408521643	0.23	0.388784931	0.638272164
	"Probe_QC_5percfilter, All Targets"	Mxd4	0.215520222	0.788463577	0.75	0.103218364	0.124938737
	"Probe_QC_5percfilter, All Targets"	Ss18l2	0.162440401	0.404234118	0.51	0.393367034	0.292429824
	"Probe_QC_5percfilter, All Targets"	Rps15a	-0.116916856	0.563060241	0.36	0.249445138	0.443697499
	"Probe_QC_5percfilter, All Targets"	Serpina3g	0.262529122	0.25064227	0.37	0.600945685	0.431798276
	"Probe_QC_5percfilter, All Targets"	Nufip2	-0.12810496	0.569266339	0.55	0.244684496	0.259637311
	"Probe_QC_5percfilter, All Targets"	LOC115486519	0.069613105	0.731939123	0.84	0.135525039	0.075720714
	"Probe_QC_5percfilter, All Targets"	Mettl9	-0.384338969	0.07213625	0	1.141846439	
	"Probe_QC_5percfilter, All Targets"	Dppa2	-0.073940221	0.535370491	0.49	0.27134557	0.30980392
	"Probe_QC_5percfilter, All Targets"	Mindy1	-0.521137126	0.315563722	0	0.500912931	
	"Probe_QC_5percfilter, All Targets"	Prkca	0.214212098	0.470574745	0.48	0.327371385	0.318758763
	"Probe_QC_5percfilter, All Targets"	Zwilch	0.215204702	0.241832103	0.09	0.616486048	1.045757491
	"Probe_QC_5percfilter, All Targets"	Nudt17	0.146259515	0.633001534	0.55	0.198595237	0.259637311
	"Probe_QC_5percfilter, All Targets"	Cdc42se1	0.13337915	0.595721264	0.59	0.224956897	0.229147988
	"Probe_QC_5percfilter, All Targets"	Mafb	0.069096707	0.819155153	0.75	0.086633833	0.124938737
	"Probe_QC_5percfilter, All Targets"	Sardh	0.032286345	0.893627118	0.76	0.048843661	0.119186408
	"Probe_QC_5percfilter, All Targets"	Kazald1	-0.002630927	0.994061131	0.9	0.002586907	0.045757491
	"Probe_QC_5percfilter, All Targets"	Bcl2	-0.176005729	0.650147042	0.5	0.186988409	0.301029996
	"Probe_QC_5percfilter, All Targets"	Ecm1	-0.223576596	0.410423384	0.27	0.386767903	0.568636236
	"Probe_QC_5percfilter, All Targets"	Mrgpra4	0.519624804	0.212731632	0.23	0.672167929	0.638272164
	"Probe_QC_5percfilter, All Targets"	Fxyd2	-0.090876379	0.680531156	0.65	0.167151987	0.187086643
	"Probe_QC_5percfilter, All Targets"	Olfr1377	0.021145986	0.992646399	0.84	0.003205429	0.075720714
	"Probe_QC_5percfilter, All Targets"	4933427D14Rik	-0.119732948	0.34363072	0.11	0.463908018	0.958607315
	"Probe_QC_5percfilter, All Targets"	Rtn2	0.001964794	0.962203577	0.91	0.016733033	0.040958608
