,log2FC
ACER3-AS1,0.015072479618838286
ACHE,-1.2488817435433681
ACIN1,0.35685738044999393
ACKR1,0.08909005571832562
ACKR2,-0.29881257051855503
ACKR3,0.17278196693804304
ACKR4,0.2941422099991756
ACKR4P1,0.026990921058103023
ACKR5,0.22282908345105246
ACLY,0.7269444326298409
ACMSD,-0.11718714197147954
ACNATP,0.01734237751277104
ACO1,0.1458836763619482
ACO2,0.02853918300868763
ACO2P1,0.01430548152462751
ACO2P2,-0.03898447045521554
ACOD1,0.016008726349244825
ACOT1,-0.4388190466166013
ACOT11,-0.8617534404737517
ACOT12,0.2459995673221113
ACOT13,-0.7806262533385464
ACOT2,-1.4112532995302645
ACOT4,0.26710864754382346
ACOT6,0.3456336290573193
ACOT7,0.1262285415122264
ACOT8,-0.3947717537336395
ACOT9,-0.17161805060657276
ACOX1,-0.6412585031097482
ACOX2,-2.128353008851878
ACOX3,0.4622601973974718
ACOXL,-0.047796952912862345
ACOXL-AS1,-0.20159107721949965
ACP1,-0.1908537139227997
ACP2,-1.1050443921379376
ACP3,-2.031473017862008
ACP4,0.015186639984917094
ACP5,-0.6930637040104854
ACP6,-1.074998143070847
ACP7,-0.1338904793505475
ACR,0.08686810124064617
ACRBP,-0.8153597334281484
ACRP1,0.0
ACRV1,0.24758618579056133
ACSBG1,0.7112591121986755
ACSBG2,0.11233532280316044
ACSF2,-1.6748997531785643
ACSF3,-0.12263197444252016
ACSL1,-0.12214126691151517
ACSL3,0.3567423548289961
ACSL3-AS1,0.0
ACSL3P1,0.0
ACSL4,0.9201472373755699
ACSL5,0.14300637525542909
ACSL6,-0.1457384849889225
ACSL6-AS1,0.04535426166874301
ACSM1,-1.4416040804069739
ACSM2A,-0.05585140766259612
ACSM2B,-0.3361755092059752
ACSM3,-0.5231319128091216
ACSM4,-0.05907891671668827
ACSM5,-1.6942780361513603
ACSM5P1,0.0
ACSM6,0.04022693155016599
ACSS1,-0.17282655557773285
ACSS2,0.5972008655209731
ACSS3,-1.3778800395153055
ACSS3-AS1,-0.060027268233606934
ACTA1,1.2094676973005944
ACTA2,-1.1670720479791834
ACTA2-AS1,0.07925617378997442
ACTB,0.749385039704979
ACTBL2,-0.012237341899060332
ACTBP1,0.27032468842053187
ACTBP11,1.2068925149152965
ACTBP12,0.015072479618838286
ACTBP14,0.18402760485237055
ACTBP15,0.9785334876462377
ACTBP16,0.06872705775573444
ACTBP2,1.5284404449183593
ACTBP4,0.12411040226474361
ACTBP6,0.0
ACTBP7,0.5096145021030591
ACTBP8,0.00783517329399196
ACTBP9,0.34064780468525496
ACTC1,-0.4837208677537236
ACTE1P,-0.047770860510554805
ACTG1,0.7925248566152359
ACTG1P1,0.8247259861916723
ACTG1P10,0.6287459836085169
ACTG1P11,0.23537328132059798
ACTG1P12,0.02213795121086201
ACTG1P13,0.0
ACTG1P14,0.18726757885199063
ACTG1P15,0.10983023955349949
ACTG1P16,0.018882692779070495
ACTG1P17,-0.121261620029321
ACTG1P18,0.06296106215783473
ACTG1P19,0.6626833633850957
ACTG1P2,0.23537328132059798
ACTG1P20,0.9140099788593703
ACTG1P21,0.05985447681309535
ACTG1P22,0.15235539481783494
ACTG1P23,0.27749777962891414
ACTG1P24,0.15666188124365601
ACTG1P25,0.3684851458602605
ACTG1P3,-0.12747163882153195
ACTG1P4,0.0
ACTG1P9,0.6666155348798201
ACTG2,0.5491522685792909
ACTL10,-0.4276342787916252
ACTL11P,0.04509049040236283
ACTL6A,0.018556516364706788
ACTL6B,0.4804155219537476
ACTL7A,0.0366084441390042
ACTL7B,0.033617272551508176
ACTL8,0.10866075386118917
ACTL9,0.0
ACTMAP,0.03312717947543442
ACTN1,-0.5678283277128795
ACTN1-DT,-0.04951944086481232
ACTN2,1.1093841076641069
ACTN3,0.07416821907926997
ACTN3-AS1,0.0
ACTN4,-0.7190407262573757
ACTN4P1,0.0
ACTN4P2,-0.0411417949196059
ACTP1,0.033026348703635106
ACTR10,-0.08343511995120956
ACTR1A,0.3957316862371476
ACTR1AP1,0.0
ACTR1B,-0.4697980572250331
ACTR2,0.20423320141812606
ACTR2P1,0.009251502565946736
ACTR2P2,-0.08722278992345156
ACTR3,-0.01914556211681262
ACTR3-AS1,0.19745584038117814
ACTR3B,1.911648256028494
ACTR3BP1,0.0
ACTR3BP2,0.0
ACTR3BP3,0.015072479618838286
ACTR3BP4,0.019547858707565452
ACTR3BP5,0.015072479618838286
ACTR3BP7,0.0
ACTR3C,0.28158722223352406
ACTR3P2,0.0
ACTR3P3,0.0
ACTR5,1.3686585315936544
ACTR6,0.37666754975591843
ACTR6P1,0.0
ACTR8,0.14847717277737793
ACTRT1,0.01430548152462751
ACTRT1P1,0.016008726349244825
ACTRT2,-0.012198513189012616
ACTRT3,-0.9416917633554045
ACVR1,-0.11808102588874059
ACVR1B,0.7365767651888815
ACVR1C,-0.8474074408512225
ACVR2A,1.2426359311929889
ACVR2B,0.5528546157763379
ACVR2B-AS1,0.5533751441361705
ACVRL1,-0.005986013080631972
ACY1,-0.36851646720202647
ACY3,0.01913847810125942
ACYP1,0.16660695448359863
ACYP2,-0.37041674197779173
ADA,0.8444759620483091
ADA2,-1.3038800096217784
ADAD1,0.0
ADAD1P1,0.08954744842438891
ADAD1P2,0.0
ADAD2,0.004139691168913037
ADAD2-AS1,0.0
ADAM10,-0.20062454078962144
ADAM11,0.623316645273893
ADAM12,-0.14643913104325135
ADAM15,-0.14200268688677298
ADAM17,-0.18591153286257978
ADAM18,-0.012198513189012616
ADAM19,-0.7540172518462884
ADAM1A,0.0
ADAM1B,0.09289217774000105
ADAM2,0.0
ADAM20,-0.05745843829464599
ADAM20P1,0.2541233190509782
ADAM20P2,0.0
ADAM20P3,0.0
ADAM21,0.045988941906064174
ADAM21P1,0.027964398815027477
ADAM22,0.9804068871772662
ADAM23,0.7325380045646734
ADAM24P,0.016008726349244825
ADAM28,-3.231878306881834
ADAM29,-0.31864589815582245
ADAM30,0.0
ADAM32,0.06525641208070332
ADAM33,-1.0394797617058198
ADAM3A,0.0
ADAM3B,0.00287396642982567
ADAM5,-0.02168760570334776
ADAM6,0.0
ADAM7,0.07114867214649914
ADAM7-AS1,0.09026714515994534
ADAM7-AS2,0.05985447681309535
ADAM8,0.2570302664125157
ADAM9,-0.3614657271170927
ADAMDEC1,0.03661068953346601
ADAMTS1,-0.9391700324185788
ADAMTS10,0.6338221919707929
ADAMTS12,-1.5353398715267224
ADAMTS13,0.0380363607923182
ADAMTS14,-0.3486080649779595
ADAMTS15,0.3862600742444754
ADAMTS16,-0.5448661863812841
ADAMTS16-AS1,0.016008726349244825
ADAMTS16-DT,-0.7528200752911555
ADAMTS17,-0.13028384637315904
ADAMTS18,-0.7437320710625477
ADAMTS19,0.9173722598531122
ADAMTS19-AS1,0.8269649621433811
ADAMTS2,-0.5368249691785683
ADAMTS20,0.6833792595695543
ADAMTS3,-0.3982230428196878
