category,ISS_mean_logfc,ISS_p_ttest,ISS_p_perm,ISS_sd_above_null,Gnd_mean_logfc,Gnd_p_ttest,Gnd_p_perm,Gnd_sd_above_null
myelination,0.3810065595714286,0.02488467442658943,0.0001,3.894166077521169,-0.2540739061138907,0.008103363668813954,0.1641,-0.8778769971084943
fast_signalling,-0.0003493439999999968,0.9981373317997311,0.3595,-0.3545598740105305,0.088983110474726,0.11193787106875291,0.2668,0.5471622776833925
social_circuit,0.226613789,0.035950350100889976,0.0334,1.8479313660225638,0.14739840853957545,0.5879028482391768,0.1998,0.7212220740996618
layer5_proj,-0.0716381126,0.18194447160299962,0.1517,-1.0196412806599229,0.18722621118276836,0.1784657202049266,0.1726,0.772897183666171
metabolic,0.21062244533333332,0.06559577036211722,0.0292,1.8719484791639074,0.18309866349895518,0.08598148398916232,0.1629,0.8663730454595333
