Category,n_panel,n_present,mean_log2FC,t_stat,p_ttest,SD_above_null,perm_p,sig,genes_present
Myelination,7,2,-0.5954,-6.753,0.0936,-0.162,0.815,,"CNP, ERMN"
FastSignalling,7,5,-0.4931,-2.252,0.0875,-0.104,0.9087,,"ANK3, NEFH, NEFM, NEFL, SNCG"
SocialCircuit,6,0,,,,,,,
LayerVProjection,5,0,,,,,,,
MetabolicSupport,6,4,-0.503,-4.027,0.0275,-0.108,0.9091,,"VDAC1, ATP2B2, SNAP25, SYP"
