Group,Gene,log2FC
NoMicroglia,MBP,-0.6209801599655949
NoMicroglia,MOG,0.2604181334842802
NoMicroglia,PLP1,-1.0213280114193637
NoMicroglia,MAG,0.0
NoMicroglia,CNP,-0.010356840561271063
NoMicroglia,MOBP,-0.0758934698701916
NoMicroglia,ERMN,-1.7654279647023765
NoMicroglia,SCN1A,1.1961573624956041
NoMicroglia,KCNQ2,0.4331427867467381
NoMicroglia,ANK3,0.3534886690699981
NoMicroglia,NEFH,0.17210975545197904
NoMicroglia,NEFM,1.1999673007825606
NoMicroglia,NEFL,-0.14539520855615962
NoMicroglia,SNCG,-1.5710841210902413
NoMicroglia,OXTR,-1.7410537819915342
NoMicroglia,AVPR1A,-0.11191306957156288
NoMicroglia,HTR2A,-0.43681672671258776
NoMicroglia,DRD1,0.5328779065244893
NoMicroglia,CHRM1,2.934759386619981
NoMicroglia,GABRB2,1.1761244403209687
NoMicroglia,FEZF2,0.44820551377631546
NoMicroglia,BCL11B,4.497200783617409
NoMicroglia,TBR1,2.9292752352334976
NoMicroglia,SATB2,-0.4903975564981069
NoMicroglia,CUX1,-0.2678864990266385
NoMicroglia,VDAC1,0.11769975961125834
NoMicroglia,ATP2B2,0.7044992078684742
NoMicroglia,SLC17A7,2.8249378645959577
NoMicroglia,SNAP25,0.6166388204710458
NoMicroglia,SYP,0.3185976190292674
NoMicroglia,NRXN1,1.1018857808789555
NoMicroglia,NOS1,0.8864216540749451
WithMicroglia,MBP,-1.2040984437713877
WithMicroglia,MOG,-0.023251754629225074
WithMicroglia,PLP1,-0.7017240994279632
WithMicroglia,MAG,-0.024332557640086572
WithMicroglia,CNP,0.29922720616150666
WithMicroglia,MOBP,-0.01378884280428979
WithMicroglia,ERMN,-1.4352997969407801
WithMicroglia,SCN1A,0.6902841368316244
WithMicroglia,KCNQ2,0.6201077992823931
WithMicroglia,ANK3,0.10229561872810677
WithMicroglia,NEFH,-0.06220234360099708
WithMicroglia,NEFM,0.7409210197902318
WithMicroglia,NEFL,-0.03178941337238239
WithMicroglia,SNCG,-1.9314044258231515
WithMicroglia,OXTR,-1.4439824913437103
WithMicroglia,AVPR1A,-0.05057803739198713
WithMicroglia,HTR2A,0.09867959708383145
WithMicroglia,DRD1,0.037108790897249055
WithMicroglia,CHRM1,2.0694710091417914
WithMicroglia,GABRB2,0.7386046805670214
WithMicroglia,FEZF2,0.424841590348779
WithMicroglia,BCL11B,3.729219948232501
WithMicroglia,TBR1,2.0612036638593496
WithMicroglia,SATB2,-0.03908269177963275
WithMicroglia,CUX1,0.0692792937909168
WithMicroglia,VDAC1,0.16036224692298973
WithMicroglia,ATP2B2,0.34744988660384335
WithMicroglia,SLC17A7,1.4531296633652708
WithMicroglia,SNAP25,0.4403751926511461
WithMicroglia,SYP,0.13483843014089736
WithMicroglia,NRXN1,0.6464355912191975
WithMicroglia,NOS1,0.23431284979786193
Combined,MBP,-0.9405790132841756
Combined,MOG,0.10824796617483269
Combined,PLP1,-0.8515940878443553
Combined,MAG,-0.011436208607112376
Combined,CNP,0.1450056693783992
Combined,MOBP,-0.04295279869291029
Combined,ERMN,-1.5956507951903185
Combined,SCN1A,0.9289132934995974
Combined,KCNQ2,0.5354591044328663
Combined,ANK3,0.22318036383450224
Combined,NEFH,0.04628382012349119
Combined,NEFM,0.9546212718472056
Combined,NEFL,-0.11306457020719396
Combined,SNCG,-1.7633793546065966
Combined,OXTR,-1.5887890565209948
Combined,AVPR1A,-0.08685154185942862
Combined,HTR2A,-0.15081424561168477
Combined,DRD1,0.24840628934071762
Combined,CHRM1,2.4810122316394865
Combined,GABRB2,0.9518776378718545
Combined,FEZF2,0.4629997968166246
Combined,BCL11B,4.122873678222384
Combined,TBR1,2.514608408100807
Combined,SATB2,-0.26596134946958183
Combined,CUX1,-0.09735024431707107
Combined,VDAC1,0.12721652337250244
Combined,ATP2B2,0.5272157860347875
Combined,SLC17A7,2.126026873577901
Combined,SNAP25,0.513183708480069
Combined,SYP,0.21309687178778258
Combined,NRXN1,0.8775376254076104
Combined,NOS1,0.5411275058628598
