,log2FC_spectral
NMD3,-2.807354922057604
WNT3,-4.169925001442312
PTRH2,-1.6138173633933413
KLC4,-0.5723624639415226
F8W835,1.0
GCN1,-0.6758017314878105
GLRX3,-0.4739311883324124
GOLIM4,-4.087462841250339
ACAA1,0.2074420798704763
HNRNPDL,-0.19316171001269353
NTPCR,-2.2016338611696504
SART1,2.807354922057604
TRMT1L,1.584962500721156
PPIP5K2,0.5305147166987798
CEP41,1.1273793064762274
RBM15,-0.9803711932510674
RPS6KA1,-1.3625700793847082
EPB41L2,5.554588851677638
CALB1,-0.22239242133644802
SUMO2,0.0
PPIAL4F,-0.8520239713913325
JPT1,0.21759143507262685
DYNLL2,-0.3219280948873623
ANO10,-4.459431618637297
DFFA,0.7369655941662062
CAD,-0.8073549220576042
ACO1,-0.8643449006424336
PFKFB4,-4.321928094887363
RBM26,-0.7243655573865726
DPYSL3,-0.8536710945664294
NFKB2,-4.087462841250339
RPL5,-0.6466632003933289
E7ESU0,3.0
CAP2,-0.9625252945813371
KIF3C,-1.253756592245783
WDR47,0.012278329778436693
OGDHL,-0.7299108366322558
TSC2,-0.9601072728764874
USP47,-0.6578940231750072
THBS2,-2.7318038890504273
WNT2B,0.13750352374993502
RPL4,-0.6674246609131291
ALDH7A1,-0.8940494868856573
RMC1,-1.765534746362977
LRPPRC,-0.54778896478621
RAD23B,-0.0995356735509144
SFN,-0.80573117957794
NUBPL,3.0
CHMP1B,0.22239242133644802
H2BC20P,7.066089190457772
NCLN,-0.9534574140629698
MAPK15,-0.2630344058337938
DPF2,-5.807354922057605
RAP1A,-0.4686754628809171
GIT1,-1.5132610353669675
ACTG2,-0.7315172225469011
WDR24,-2.0
PIP5K1B,-0.4854268271702417
RABGEF1,-0.8930847960834881
COX7C,3.321928094887362
GT251,-0.19264507794239588
PSMD1,-0.45724925943428285
ARCN1,-0.8050883150856591
SEPTIN4,-1.2658940599730346
TAX1BP3,1.0
DDHD1,-2.584962500721156
EXOSC8,0.874469117916141
UBE4A,0.12029423371771175
CDC37,-0.5004289905094885
USP24,-0.7824085649273732
SNAP25,-0.2085866218114174
NDRG4,0.874469117916141
PTBP2,-0.9393642022612055
TOR1A,-3.4594316186372973
POGZ,-0.493040011280117
A0A7I2RYU0,-1.4739311883324124
CNN2,-0.632268215499513
NUP85,-0.8231222379159209
NSF,-0.7511291114564145
MYO5A,-0.4127493226835736
ANGPTL4,-1.1502426355806126
DAB1,1.0
PSMA5,-0.9342455545162858
GAPDH,-0.6925112465391062
EXD2,1.1375035237499351
CADM1,-0.18442457113742744
EBF4,3.321928094887362
ERBB4,2.321928094887362
SUMF2,-0.328712699454472
GALC,0.31797008131867915
KRT79,-1.0
HNRNPA2B1,-0.63777853451517
CPS1,0.16992500144231237
AIMP1,-1.0101242172737073
ONECUT1,-2.321928094887362
ANGEL2,1.0
EMC2,-1.538419914784126
PAM16,-1.051530300640082
CNOT2,-4.643856189774724
ABCD3,-0.5101947323191839
SPRYD4,2.0
PHKG2,-2.807354922057604
SULT1A2,-0.16505924627049634
STAM,-0.5025003405291831
SUZ12,-0.36257007938470825
SLC25A1,-0.5849625007211563
DNAJA3,-1.050626073069968
MATK,-5.7279204545632
TMX4,0.5360529002402097
CAPZA2,-0.9228321394775401
RHPN2,-0.3219280948873623
CTTN,-1.5849625007211563
XAB2,-0.4150374992788438
ERP29,-0.8611985049156495
WDR41,0.41503749927884376
DDX51,-4.906890595608519
S100A13,-1.0
ZNF346,-0.20645087746742632
MRPS31,-1.0
UBE2D3,-0.618693358033706
SERPINB9,-1.7369655941662063
LIG3,-0.13058410981014437
F8WE38,-1.0
BLVRA,-0.9159357352115255
TUBA1A,-0.8001221443373033
NSFL1C,-0.1213062962221336
TTYH1,0.16046467219324612
YIPF4,-3.1699250014423126
SIRT3,-0.5525410230287788
PSMG4,3.4594316186372973
PDCD6,-1.004865755171816
USE1,-0.8073549220576042
RAB33B,-0.6338721012021025
ELMO1,1.0
PUS1,-2.807354922057604
HERC4,1.584962500721156
CPD,-0.39231742277876036
PHYH,-5.321928094887363
CNPY4,-1.222392421336448
SMAD5,-0.9475325801058645
GSTZ1,-0.34348423825380986
SURF4,-0.4576818366873375
NANS,-0.3611875253345895
SNRPG,-0.5099491463043107
GBE1,-2.7813597135246595
MAPK3,-1.0578909719118559
MTA2,-0.9385994553358568
HGH1,-0.7842713089445628
COLEC12,2.321928094887362
SCFD2,2.807354922057604
KTN1,0.5353317329965557
PSMD12,-0.5543122878809716
PRDX2,-0.8738353840861005
MAGT1,-0.9510903995190535
APBB1,1.078002512001273
WNT1,-0.319278516473413
ROGDI,-0.36257007938470825
PRR36,-0.31647366479525435
HSPA12B,-0.9175378398080271
ATG101,-2.321928094887362
DNMT3A,-0.07730572616744891
PHGDH,-1.3449713805313688
CAPS,1.3219280948873624
CRYAB,-1.3541337076680335
REEP5,3.4594316186372973
AMBN,1.584962500721156
H3BRE8,-2.0
NRBP1,-0.6981096583491826
HAT1,-1.4739311883324124
VANGL2,-0.8930847960834881
PDSS1,-2.0
ESYT2,-1.4854268271702418
SNRPB2,-0.4854268271702417
H0YM48,-1.5849625007211563
E9PAM4,-0.9259994185562233
SMYD5,-0.760812336120574
ITFG1,-0.27563444261342734
MICAL1,-0.5145731728297583
GOLGB1,-3.0874628412503395
PDS5A,-0.0995356735509144
TMEM9,-0.2895066171949848
COG4,-1.8328900141647417
STAT5B,-0.6713772525386293
PLCL1,-0.27563444261342734
RGS8,0.32192809488736235
KRT38,-4.700439718141092
PRDX4,-0.7692466567491352
OXCT1,-0.6823303375893603
ATP6V0C,2.807354922057604
PGAM1,-0.6718800713983695
TBRG4,0.5849625007211562
H6PD,-0.8845227825800641
CASTOR2,-1.1699250014423124
