,log2FC
ACER2P1,-0.012133274527669016
ACER3,0.6031555267404034
ACER3-AS1,0.022798842128725072
ACHE,-1.201915618183687
ACIN1,0.27618795023702525
ACKR1,-0.00300776452905005
ACKR2,-0.3651206256293995
ACKR3,0.47193829005096966
ACKR4,0.22164026282564117
ACKR4P1,0.05160919726222471
ACKR5,0.12159168134849971
ACLY,0.6452186514467648
ACMSD,-0.03501345516038762
ACNATP,0.013854874815337804
ACO1,0.2494540352704897
ACO2,0.19019939529960794
ACO2P1,0.006357991788723338
ACO2P2,0.014301182909597199
ACOD1,0.0005899491440223281
ACOT1,-0.5371282738405054
ACOT11,-0.9009690903459658
ACOT12,0.2066527396243796
ACOT13,-0.8967295013764804
ACOT2,-1.314097690931173
ACOT4,0.19777295648228677
ACOT6,0.21238905404227634
ACOT7,0.16096348535875382
ACOT8,-0.4198180878293982
ACOT9,-0.003792164636543305
ACOX1,-0.40152599061331884
ACOX2,-1.7889603505524811
ACOX3,0.45890332801581657
ACOXL,0.07272719847661246
ACOXL-AS1,-0.21847090727509216
ACP1,-0.11663016752039823
ACP2,-0.7452358191224802
ACP3,-1.5456527972554235
ACP4,0.0513898712628752
ACP5,-0.6947845329174509
ACP6,-0.822106062684048
ACP7,-0.16611951126650484
ACR,0.03569389778816347
ACRBP,-0.796800449222224
ACRP1,0.006761632240480433
ACRV1,0.2116813973218209
ACSBG1,0.6335360845403164
ACSBG2,0.056609764175774846
ACSF2,-1.3668965530391093
ACSF3,-0.12854671837296694
ACSL1,-0.06986613492037641
ACSL3,0.3115080887409034
ACSL3-AS1,0.0
ACSL3P1,0.0009585601490932991
ACSL4,0.7302528333084268
ACSL5,0.1474056019855805
ACSL6,-0.13536926687303508
ACSL6-AS1,0.07957499099990195
ACSM1,-1.2669081030711655
ACSM2A,-0.0579751119182042
ACSM2B,-0.2928052065898208
ACSM3,-0.347916521700837
ACSM4,-0.04310106962980245
ACSM5,-1.3668250992745559
ACSM5P1,0.007167921335012557
ACSM6,0.0893453930899682
ACSS1,-0.09044222874118324
ACSS2,0.6163304145408501
ACSS3,-1.155039228344891
ACSS3-AS1,0.010746792716358741
ACTA1,1.0501354405954935
ACTA2,-0.880026415771576
ACTA2-AS1,0.0727908381200176
ACTB,0.8513090038785851
ACTBL2,-0.012701813374135285
ACTBP1,0.23280924592150315
ACTBP11,1.1127906650824724
ACTBP12,0.0004637720841993414
ACTBP14,0.13085486360130036
ACTBP15,0.8473635065164579
ACTBP16,0.16309267935672528
ACTBP2,1.2114387558946382
ACTBP4,0.0975188534242567
ACTBP6,0.0
ACTBP7,0.6301372471333764
ACTBP8,0.018437282597705343
ACTBP9,0.3642856351468288
ACTC1,-0.5620284208374844
ACTE1P,-0.05351063463601369
ACTG1,0.8146278647749128
ACTG1P1,0.5408062141961576
ACTG1P10,0.5031939958816073
ACTG1P11,0.18370545466410335
ACTG1P12,0.04340812764481072
ACTG1P13,0.0
ACTG1P14,0.28420858441630115
ACTG1P15,0.07476127768314585
ACTG1P16,0.03136846439832728
ACTG1P17,-0.17777592548901033
ACTG1P18,0.042275259880856564
ACTG1P19,0.5902360410412688
ACTG1P2,0.18370545466410335
ACTG1P20,0.9567180175759089
ACTG1P21,0.04954267625947634
ACTG1P22,0.09636688560264162
ACTG1P23,0.24614449219326368
ACTG1P24,0.09343495895957163
ACTG1P25,0.4697148287353792
ACTG1P3,-0.04378330728210686
ACTG1P4,0.0
ACTG1P9,0.5809275140760377
ACTG2,0.36692845278547837
ACTL10,-0.561119170643215
ACTL11P,0.022508508037918117
ACTL6A,0.23873990370581488
ACTL6B,0.563828930345057
ACTL7A,0.011952715161773708
ACTL7B,0.025324421390263176
ACTL8,0.07438100365425933
ACTL9,0.0
ACTMAP,-0.01657738931868291
ACTN1,-0.37160448469152474
ACTN1-DT,-0.051199551339005
ACTN2,0.9553713459688722
ACTN3,0.056507520900332536
ACTN3-AS1,0.0
ACTN4,-0.5057747612547137
ACTN4P1,-0.006194152938339139
ACTN4P2,0.02655487826798497
ACTP1,0.015216466161644349
ACTR10,-0.1345262720294249
ACTR1A,0.412452650846892
ACTR1AP1,0.0
ACTR1B,-0.6724563504352639
ACTR2,0.2087536834008441
ACTR2P1,0.010625764320652414
ACTR2P2,0.00927272500400625
ACTR3,0.021509162148167782
ACTR3-AS1,0.15271222789438377
ACTR3B,1.8925499971256574
ACTR3BP1,0.0
ACTR3BP2,0.0
ACTR3BP3,0.006698879830594794
ACTR3BP4,0.049157074643030645
ACTR3BP5,0.006698879830594794
ACTR3BP7,0.0
ACTR3C,0.18038476415279758
ACTR3P2,0.0
ACTR3P3,0.0
ACTR5,1.1701731688214019
ACTR6,0.30434958032481774
ACTR6P1,0.0
ACTR8,0.08639854911530698
ACTRT1,0.006357991788723338
ACTRT1P1,0.0071149894885532555
ACTRT2,-0.011089551050219379
ACTRT3,-0.9453209887069198
ACVR1,-0.164276821386097
ACVR1B,0.47133053720580653
ACVR1C,-0.8311320132440833
ACVR2A,1.0299291848648888
ACVR2B,0.41398221508637834
ACVR2B-AS1,0.5199960761658269
ACVRL1,0.00300094871273085
ACY1,-0.22430455578454822
ACY3,0.0017314514433760132
ACYP1,-0.11477287932588798
ACYP2,-0.2782503042980258
ADA,0.6939581255335767
ADA2,-1.1482472446781773
ADAD1,0.0
ADAD1P1,0.09421918874986371
ADAD1P2,0.006761632240480433
ADAD2,-0.004594214604851994
ADAD2-AS1,0.0009208124210200678
ADAM10,-0.11548206692425556
ADAM11,0.3376353158297136
ADAM12,-0.17877516729508147
ADAM15,-0.1364449689104843
ADAM17,-0.17824058037685564
ADAM18,0.0016463678906383783
ADAM19,-0.7086366162686017
ADAM1A,0.0
ADAM1B,0.09006845993557222
ADAM2,0.0
ADAM20,-0.030205232837906895
ADAM20P1,0.24206144424359755
ADAM20P2,0.0017962790478239735
ADAM20P3,0.0
ADAM21,-0.03342943532515791
ADAM21P1,0.01641778294556119
ADAM22,0.8284175889646446
ADAM23,0.4557141641680169
ADAM24P,0.014415691617862356
ADAM28,-2.8837469799202196
ADAM29,-0.45186906992192
ADAM30,0.0
ADAM32,0.03150491980555242
ADAM33,-0.9575998812044813
ADAM3A,-0.0060968436466830285
ADAM3B,-0.024998523892638305
ADAM5,-0.016940646498356908
ADAM6,0.0
ADAM7,0.06788373678807123
ADAM7-AS1,0.005808114053186236
ADAM7-AS2,0.02173653045370637
ADAM8,-0.1530086240869868
ADAM9,-0.14761777454344127
ADAMDEC1,0.037002049743923744
ADAMTS1,-0.6642258448369409
ADAMTS10,0.407656124157032
ADAMTS12,-1.2191525060143475
ADAMTS13,-0.061107657034261464
ADAMTS14,-0.3904933307678574
ADAMTS15,0.26003635961576765
ADAMTS16,-0.45101542324001154
ADAMTS16-AS1,0.000879881742157803
ADAMTS16-DT,-0.5227910086693338
ADAMTS17,-0.28457187367313197
ADAMTS18,-0.6546757560490837
ADAMTS19,0.8706500079130699
ADAMTS19-AS1,0.8307486627745051
ADAMTS2,-0.592229336081429
ADAMTS20,0.6344658110230745
ADAMTS3,-0.089673757937768
ADAMTS4,0.07823666704319931
ADAMTS5,-0.30945235827802975
ADAMTS6,-0.2447739011378527
ADAMTS7,0.6352425729593949
ADAMTS7P1,-0.030358121479609895
ADAMTS7P3,0.07143449387983203
ADAMTS7P4,0.038355231296172305
ADAMTS7P5,0.0383658828286028
ADAMTS8,0.6038737967815772
ADAMTS9,-0.8034967290079953
ADAMTS9-AS1,-0.18096551333088517
ADAMTS9-AS2,-0.11236966308416108
ADAMTSL1,-1.3951190040320152
ADAMTSL2,-1.0821237313405132
ADAMTSL3,0.09816920040535948
ADAMTSL4,-0.9852069338714489
