,log2FC
ACER3,0.5257182260217625
ACER3-AS1,0.026521732819630054
ACHE,-1.1183767303230585
ACIN1,0.18722249109301448
ACKR1,-0.08472435478782359
ACKR2,-0.4215979248108894
ACKR3,0.7058138895750412
ACKR4,0.15989048875570616
ACKR4P1,0.06888845038264951
ACKR5,0.0393823909371209
ACLY,0.5676319850549447
ACMSD,0.03924341260110853
ACNATP,0.012145917016410922
ACO1,0.3493511345607647
ACO2,0.35548594070932893
ACO2P1,0.0
ACO2P2,0.061030392539946576
ACOD1,-0.013050080689061855
ACOT1,-0.6095461596535259
ACOT11,-0.9086247933298004
ACOT12,0.1789180827432424
ACOT13,-1.00392722373857
ACOT2,-1.2009021899918721
ACOT4,0.13606429413607435
ACOT6,0.09173477428384647
ACOT7,0.20759691158936722
ACOT8,-0.44268271267380044
ACOT9,0.14320699960701688
ACOX1,-0.18029906490577918
ACOX2,-1.4519595068808395
ACOX3,0.46448106731947814
ACOXL,0.19028665904941833
ACOXL-AS1,-0.23688412055372204
ACP1,-0.0379751854583672
ACP2,-0.39335457118832196
ACP3,-1.077804824217234
ACP4,0.07810812811468681
ACP5,-0.6953715804957968
ACP6,-0.5846035936527123
ACP7,-0.2047439660910686
ACR,-0.011334872494541605
ACRBP,-0.7692884862952489
ACRP1,0.01217093803286478
ACRV1,0.1667604786045127
ACSBG1,0.5609396591092408
ACSBG2,0.00985579033287054
ACSF2,-1.0911502145621803
ACSF3,-0.11978694324448647
ACSL1,-0.003397897912384984
ACSL3,0.2930618372668903
ACSL3-AS1,0.0
ACSL3P1,-0.0007327910486364976
ACSL4,0.5758411282159743
ACSL5,0.13785485031506006
ACSL6,-0.1071608213702735
ACSL6-AS1,0.11270148619216744
ACSM1,-1.1010843777118706
ACSM2A,-0.06009881617381228
ACSM2B,-0.2494349039736663
ACSM3,-0.162837565457096
ACSM4,-0.025103339480132096
ACSM5,-1.0427246875866887
ACSM5P1,0.012902258403022601
ACSM6,0.13054056264613498
ACSS1,0.004889344152243069
ACSS2,0.6294041803447499
ACSS3,-0.9572419144404325
ACSS3-AS1,0.0720164975904108
ACTA1,0.8669593472639905
ACTA2,-0.5989640983796691
ACTA2-AS1,0.06998298108476601
ACTB,0.954956883017525
ACTBL2,-0.013166284849210235
ACTBP1,0.19283755955138338
ACTBP11,0.9899391769897643
ACTBP12,-0.012470215492790905
ACTBP14,0.08329674208279206
ACTBP15,0.7030143989845791
ACTBP16,0.23998269237554298
ACTBP2,0.8610243259287347
ACTBP4,0.06978304287931028
ACTBP6,0.0
ACTBP7,0.7314496834828841
ACTBP8,0.026757721171138244
ACTBP9,0.3692090986272749
ACTC1,-0.6202334042702575
ACTE1P,-0.0586536081640455
ACTG1,0.8341042742283431
ACTG1P1,0.30003289127918764
ACTG1P10,0.3987917028600278
ACTG1P11,0.11950176294306392
ACTG1P12,0.058924621693576484
ACTG1P13,0.0
ACTG1P14,0.37856914062625713
ACTG1P15,0.036570492343694375
ACTG1P16,0.0401876435798276
ACTG1P17,-0.23468230580210891
ACTG1P18,0.026878003724670748
ACTG1P19,0.4952259844174093
ACTG1P2,0.11950176294306392
ACTG1P20,0.9809192968762668
ACTG1P21,0.038866580911047326
ACTG1P22,0.05157607823048695
ACTG1P23,0.2064571154959178
ACTG1P24,0.029588611743415205
ACTG1P25,0.5373536072018654
ACTG1P3,0.03061959986391799
ACTG1P4,0.0
ACTG1P9,0.4893366303703129
ACTG2,0.18249532019790426
ACTL10,-0.6661684678813292
ACTL11P,0.002030345354182929
ACTL6A,0.4229920505143552
ACTL6B,0.6527806062521622
ACTL7A,-0.014023942597975403
ACTL7B,0.015521435458660776
ACTL8,0.04549830540302317
ACTL9,0.0
ACTMAP,-0.067127370405347
ACTN1,-0.1746564009812861
ACTN1-DT,-0.047549494408607715
ACTN2,0.8257427340483541
ACTN3,0.02626802534085454
ACTN3-AS1,0.0
ACTN4,-0.30639620704943926
